"Gender","Family","Height","Father","Mother"
"male",1,73.2,78.5,67
"female",1,69.2,78.5,67
"female",1,69,78.5,67
"female",1,69,78.5,67
"male",2,73.5,75.5,66.5
"male",2,72.5,75.5,66.5
"female",2,65.5,75.5,66.5
"female",2,65.5,75.5,66.5
"male",3,71,75,64
"female",3,68,75,64
"male",4,70.5,75,64
"male",4,68.5,75,64
"female",4,67,75,64
"female",4,64.5,75,64
"female",4,63,75,64
"male",5,72,75,58.5
"male",5,69,75,58.5
"male",5,68,75,58.5
"female",5,66.5,75,58.5
"female",5,62.5,75,58.5
"female",5,62.5,75,58.5
"female",6,69.5,74,68
"male",7,76.5,74,68
"male",7,74,74,68
"male",7,73,74,68
"male",7,73,74,68
"female",7,70.5,74,68
"female",7,64,74,68
"female",8,70.5,74,66.5
"female",8,68,74,66.5
"female",8,66,74,66.5
"female",9,66,74.5,66
"female",10,65.5,74,65.5
"male",11,74,74,62
"male",11,70,74,62
"female",11,68,74,62
"female",11,67,74,62
"female",11,67,74,62
"female",11,66,74,62
"female",11,63.5,74,62
"female",11,63,74,62
"female",12,65,74,61
"male",13,71,73,67
"female",13,62,73,67
"male",14,68,73,67
"male",14,67,73,67
"male",15,71,73,66.5
"male",15,70.5,73,66.5
"female",15,66.7,73,66.5
"male",16,72,73,65
"male",16,70.5,73,65
"male",16,70.2,73,65
"male",16,70.2,73,65
"male",16,69.2,73,65
"female",16,68.7,73,65
"female",16,66.5,73,65
"female",16,64.5,73,65
"female",16,63.5,73,65
"male",17,74,73,64.5
"male",17,73,73,64.5
"male",17,71.5,73,64.5
"male",17,62.5,73,64.5
"female",17,66.5,73,64.5
"female",17,62.3,73,64.5
"female",18,66,73,64
"female",18,64.5,73,64
"female",18,64,73,64
"female",19,62.7,73.2,63
"male",20,73.2,72.7,69
"male",20,73,72.7,69
"male",20,72.7,72.7,69
"female",20,70,72.7,69
"female",20,69,72.7,69
"female",20,68.5,72.7,69
"female",20,68,72.7,69
"female",20,66,72.7,69
"male",21,73,72,68
"female",21,68.5,72,68
"female",21,68,72,68
"male",22,73,72,67
"male",22,71,72,67
"female",22,67,72,67
"male",23,74.2,72,65
"male",23,70.5,72,65
"male",23,69.5,72,65
"female",23,66,72,65
"female",23,65.5,72,65
"female",23,65,72,65
"female",23,65,72,65
"female",24,65.5,72,65.5
"female",25,66,72,64
"female",25,63,72,64
"male",26,70.5,72,63
"male",26,70.5,72,63
"male",26,69,72,63
"female",26,65,72,63
"female",26,63,72,63
"male",27,69,72,63
"male",27,67,72,63
"female",27,63,72,63
"male",28,73,72,63
"male",28,67,72,63
"female",28,70.5,72,63
"female",28,70,72,63
"female",28,66.5,72,63
"female",28,63,72,63
"female",29,67.5,72.5,63.5
"female",29,67.2,72.5,63.5
"female",29,66.7,72.5,63.5
"female",30,64,72,62
"male",31,71,72.5,62
"male",31,70,72.5,62
"male",31,70,72.5,62
"female",31,66,72.5,62
"female",31,65,72.5,62
"female",31,65,72.5,62
"male",32,74,72,62
"male",32,72,72,62
"male",32,69,72,62
"female",32,67.5,72,62
"female",32,63.5,72,62
"male",33,72,72,62
"male",33,71.5,72,62
"male",33,71.5,72,62
"male",33,70,72,62
"female",33,68,72,62
"female",34,65.7,72,61
"male",35,78,71,69
"male",35,74,71,69
"male",35,73,71,69
"male",35,72,71,69
"female",35,67,71,69
"male",36,73.2,71,67
"male",36,73,71,67
"male",36,69,71,67
"female",36,67,71,67
"male",37,70,71,66
"female",37,67,71,66
"female",37,67,71,66
"female",37,66.5,71,66
"male",38,70,71,66
"male",38,69,71,66
"male",38,68.5,71,66
"female",38,66,71,66
"female",38,64.5,71,66
"female",38,63,71,66
"male",39,71,71,66
"female",39,67,71,66
"male",40,76,71,66
"male",40,72,71,66
"male",40,71,71,66
"male",40,66,71,66
"female",40,66,71,66
"male",41,70.5,71.7,65.5
"male",42,72,71,65.5
"male",42,72,71,65.5
"male",42,71,71,65.5
"male",42,69,71,65.5
"female",42,66,71,65.5
"female",42,65,71,65.5
"male",43,73,71.5,65.5
"female",43,65.2,71.5,65.5
"male",44,68.5,71.5,65
"male",44,67.7,71.5,65
"male",45,68,71,65
"male",45,68,71,65
"female",45,62,71,65
"female",46,68,71,64
"female",46,68,71,64
"female",46,67.5,71,64
"female",46,66.5,71,64
"female",46,66.5,71,64
"female",46,66,71,64
"female",46,65.5,71,64
"female",46,65,71,64
"male",47,72,71.7,64.5
"male",47,71,71.7,64.5
"male",47,70.5,71.7,64.5
"female",47,67,71.7,64.5
"male",48,68,71,64
"male",48,68,71,64
"male",48,68,71,64
"male",49,72,71.5,64.5
"male",49,71,71.5,64.5
"male",49,70,71.5,64.5
"female",49,66,71.5,64.5
"female",49,64.5,71.5,64.5
"female",49,64.5,71.5,64.5
"female",49,62,71.5,64.5
"male",50,73,71,64.5
"female",50,62,71,64.5
"female",51,67.5,71.2,63
"female",51,64.5,71.2,63
"male",52,71,71,63.5
"male",52,67,71,63.5
"female",52,66,71,63.5
"female",52,65,71,63.5
"female",52,63.5,71,63.5
"male",53,71,71,63
"male",53,70,71,63
"male",53,70,71,63
"male",53,64,71,63
"female",53,65,71,63
"female",53,65,71,63
"female",53,64,71,63
"female",53,63,71,63
"female",53,63,71,63
"male",54,71,71,63
"male",54,71,71,63
"male",54,70,71,63
"female",54,63.5,71,63
"male",55,71,71,62
"male",55,70,71,62
"female",55,64.5,71,62
"female",55,62.5,71,62
"female",55,61.5,71,62
"male",56,72,71,62
"male",56,70.5,71,62
"male",56,70.5,71,62
"female",56,64.5,71,62
"female",56,60,71,62
"male",57,70,71,62.5
"female",57,64,71,62.5
"female",57,64,71,62.5
"female",57,64,71,62.5
"female",57,62.5,71,62.5
"male",58,70.5,71,62
"male",58,70,71,62
"male",58,69,71,62
"male",58,69,71,62
"male",58,66,71,62
"female",58,64.5,71,62
"female",58,64,71,62
"female",59,62,71,61
"male",60,71.5,71,58
"male",60,69,71,58
"male",61,71,70,69
"male",61,70,70,69
"male",61,69,70,69
"female",61,69,70,69
"male",62,70,70,69
"male",62,68.7,70,69
"female",62,68,70,69
"female",62,66,70,69
"female",62,64,70,69
"female",62,62,70,69
"male",63,75,70,68
"male",64,70,70,67
"male",64,69,70,67
"female",64,66,70,67
"female",64,64,70,67
"female",64,60,70,67
"female",65,67.5,70,67
"male",66,73,70,66.5
"male",66,72,70,66.5
"male",66,72,70,66.5
"male",66,66.5,70,66.5
"female",66,69.2,70,66.5
"female",66,67.2,70,66.5
"female",66,66.5,70,66.5
"female",66,66,70,66.5
"female",66,66,70,66.5
"female",66,64.2,70,66.5
"female",66,63.7,70,66.5
"male",67,72,70.5,65
"male",67,70.2,70.5,65
"male",67,69,70.5,65
"male",67,68.5,70.5,65
"female",68,68,70.5,65
"female",68,65,70.5,65
"female",68,61.5,70.5,65
"female",68,61,70.5,65
"female",68,61,70.5,65
"male",69,73,70,65
"male",69,72,70,65
"male",69,70.5,70,65
"male",69,65,70,65
"male",69,65,70,65
"female",69,64.5,70,65
"female",69,63,70,65
"female",69,62,70,65
"male",70,67,70,65
"male",70,65,70,65
"female",70,64.5,70,65
"female",70,62.5,70,65
"female",70,62.5,70,65
"male",71,70,70,65
"male",71,70,70,65
"female",71,67,70,65
"female",71,65,70,65
"female",71,65,70,65
"female",71,63,70,65
"male",72,79,70,65
"male",72,75,70,65
"male",72,71,70,65
"female",72,69,70,65
"female",72,67,70,65
"female",72,65.7,70,65
"female",72,62,70,65
"male",73,73,70,65
"male",73,72.5,70,65
"female",73,65,70,65
"male",74,69,70,65
"male",74,69,70,65
"male",75,72,70,64.7
"male",75,70,70,64.7
"male",75,68.7,70,64.7
"female",75,66.5,70,64.7
"female",75,65.5,70,64.7
"female",75,64.7,70,64.7
"female",75,64.5,70,64.7
"male",76,70.7,70,64
"male",76,70,70,64
"male",76,68,70,64
"male",76,67,70,64
"male",76,66,70,64
"male",76,65,70,64
"female",76,67,70,64
"male",77,70,70,64
"male",77,68,70,64
"male",77,66.7,70,64
"female",77,65.5,70,64
"male",78,72,70,64.2
"male",78,70,70,64.2
"female",78,62.5,70,64.2
"female",78,61.2,70,64.2
"female",78,60.1,70,64.2
"male",79,74,70.5,64
"male",79,69.5,70.5,64
"male",79,69,70.5,64
"male",79,68,70.5,64
"male",79,68,70.5,64
"male",79,68,70.5,64
"female",79,65.5,70.5,64
"female",79,65,70.5,64
"female",80,60,70.5,64.5
"male",81,68,70,64
"female",81,65,70,64
"female",81,64,70,64
"female",81,62,70,64
"male",82,71,70,64
"male",82,70,70,64
"male",82,70,70,64
"male",82,70,70,64
"male",82,69.5,70,64
"male",82,68.5,70,64
"female",82,69,70,64
"female",82,65,70,64
"female",82,64,70,64
"male",83,70,70,63.7
"male",83,67,70,63.7
"male",83,65.5,70,63.7
"female",83,63.7,70,63.7
"female",83,63.2,70,63.7
"female",83,62.5,70,63.7
"female",83,62.2,70,63.7
"female",83,61,70,63.7
"male",84,70,70.5,63
"male",84,68.5,70.5,63
"female",84,65.5,70.5,63
"female",84,63.5,70.5,63
"male",85,72.5,70.5,63
"male",85,69,70.5,63
"male",85,67,70.5,63
"female",85,64.5,70.5,63
"female",85,64,70.5,63
"male",86,71,70,63.5
"male",86,67.5,70,63.5
"female",86,67.5,70,63.5
"female",86,63.5,70,63.5
"male",87,68,70,63
"male",87,67,70,63
"female",87,63.7,70,63
"female",87,62,70,63
"male",88,70,70,63
"male",88,66.5,70,63
"female",88,62,70,63
"female",88,61,70,63
"male",89,72,70.5,62
"male",89,70,70.5,62
"male",89,69.5,70.5,62
"male",89,69.5,70.5,62
"male",89,68,70.5,62
"female",89,65,70.5,62
"female",89,64,70.5,62
"female",89,63,70.5,62
"male",90,70.7,70.3,62.7
"male",90,69.7,70.3,62.7
"male",90,69.2,70.3,62.7
"male",90,65.2,70.3,62.7
"female",90,64,70.3,62.7
"female",90,63.5,70.3,62.7
"female",90,63.2,70.3,62.7
"male",91,72,70.5,62
"male",91,72,70.5,62
"female",91,60,70.5,62
"male",92,71.2,70,61
"male",92,67,70,61
"male",93,67,70,60
"male",93,64.5,70,60
"female",93,65,70,60
"female",93,63,70,60
"female",94,65,70,60
"female",94,65,70,60
"male",95,71.5,70,58.5
"male",95,64.5,70,58.5
"female",95,63,70,58.5
"male",96,72,70,58
"male",96,66,70,58
"female",96,66,70,58
"female",96,65,70,58
"female",96,63,70,58
"male",97,75,69,68.5
"male",97,71,69,68.5
"male",97,70,69,68.5
"female",97,66,69,68.5
"female",97,66,69,68.5
"female",97,65.5,69,68.5
"female",97,65,69,68.5
"female",97,65,69,68.5
"female",97,64,69,68.5
"female",97,64,69,68.5
"female",98,64,69,67
"male",99,73,69,66
"male",99,72,69,66
"male",99,71.7,69,66
"male",99,71.5,69,66
"female",99,65.5,69,66
"female",99,65,69,66
"female",99,62.7,69,66
"female",99,62.5,69,66
"male",100,71.2,69,66
"male",100,71,69,66
"male",100,70,69,66
"male",101,75,69,66.7
"male",101,74,69,66.7
"male",101,72,69,66.7
"male",102,70,69,66
"male",102,68.5,69,66
"male",102,68,69,66
"female",102,65,69,66
"female",102,63,69,66
"female",102,62.5,69,66
"male",103,73,69,66.5
"male",103,71,69,66.5
"male",103,70.5,69,66.5
"male",103,70.5,69,66.5
"male",103,67,69,66.5
"male",103,66,69,66.5
"female",103,61,69,66.5
"male",104,70.5,69.5,66.5
"male",104,67.5,69.5,66.5
"female",104,64.5,69.5,66.5
"female",104,64,69.5,66.5
"male",105,71,69,66.5
"female",105,68.5,69,66.5
"female",105,67.5,69,66.5
"female",105,66,69,66.5
"female",105,63,69,66.5
"female",105,63,69,66.5
"male",106,71,69.5,66
"male",106,71,69.5,66
"male",106,70.5,69.5,66
"male",106,70.5,69.5,66
"female",106,66.5,69.5,66
"female",106,65.5,69.5,66
"female",106,64.5,69.5,66
"male",107,73,69,66
"male",107,72,69,66
"male",107,69,69,66
"male",107,69,69,66
"female",107,66.5,69,66
"female",107,65.5,69,66
"female",107,65.5,69,66
"female",107,65,69,66
"female",107,64,69,66
"male",108,70,69,65
"male",108,68.5,69,65
"male",108,67,69,65
"female",108,65,69,65
"female",108,64,69,65
"female",108,63.5,69,65
"female",108,61,69,65
"male",109,69.7,69.5,64.5
"male",109,68,69.5,64.5
"male",109,60,69.5,64.5
"female",109,65.2,69.5,64.5
"female",109,64.5,69.5,64.5
"female",109,63.7,69.5,64.5
"female",109,60,69.5,64.5
"male",110,71.7,69.2,64
"male",110,66.5,69.2,64
"female",110,65,69.2,64
"female",110,63.5,69.2,64
"female",111,65.5,69,63.5
"male",112,69,69,63
"female",112,67.5,69,63
"female",112,63.5,69,63
"male",113,72,69,63
"male",114,73,69,63
"male",114,70,69,63
"male",114,70,69,63
"male",114,64,69,63
"female",114,66,69,63
"female",114,62,69,63
"male",115,70.5,69,63.5
"male",115,67,69,63.5
"male",115,66,69,63.5
"female",115,65,69,63.5
"female",115,63,69,63.5
"female",115,62,69,63.5
"female",115,61,69,63.5
"male",116,70.5,69,63.5
"female",116,63.7,69,63.5
"female",116,63,69,63.5
"female",117,62.5,69.7,62
"male",118,73,69.5,62
"male",118,72,69.5,62
"male",118,69,69.5,62
"male",119,73,69,62
"male",119,71,69,62
"male",119,71,69,62
"male",119,69,69,62
"female",119,63,69,62
"male",120,72,69.5,62
"male",120,70,69.5,62
"male",120,67.8,69.5,62
"female",120,65.2,69.5,62
"female",120,64.7,69.5,62
"female",120,64.5,69.5,62
"female",120,63.5,69.5,62
"female",120,63.5,69.5,62
"female",120,62.5,69.5,62
"female",120,62,69.5,62
"female",120,61.5,69.5,62
"male",121,71,69,62.5
"male",121,70,69,62.5
"male",121,70,69,62.5
"male",121,69,69,62.5
"female",121,63.5,69,62.5
"female",121,62.5,69,62.5
"female",121,62.5,69,62.5
"female",121,62,69,62.5
"male",122,72,69,62
"male",122,68,69,62
"female",122,66,69,62
"female",122,66,69,62
"male",123,70,69.5,61
"male",123,69.5,69.5,61
"male",123,69,69.5,61
"female",123,63,69.5,61
"female",123,62,69.5,61
"male",124,68,69,61
"male",124,68,69,61
"male",124,67.5,69,61
"male",124,64,69,61
"male",124,63,69,61
"male",124,63,69,61
"female",124,63.5,69,61
"female",124,62,69,61
"female",124,62,69,61
"male",125,70.5,69,60
"female",125,68,69,60
"female",125,62.5,69,60
"male",126,69,69,60
"male",126,66,69,60
"female",126,61.7,69,60
"female",126,60.5,69,60
"male",127,69.5,69,60.5
"male",128,71,68.7,70.5
"female",128,61.7,68.7,70.5
"male",129,73,68.5,67
"male",129,71,68.5,67
"female",129,67,68.5,67
"male",130,70,68.5,66.5
"male",130,69,68.5,66.5
"male",130,69,68.5,66.5
"male",130,68.7,68.5,66.5
"male",130,68.5,68.5,66.5
"male",130,68.5,68.5,66.5
"male",130,68,68.5,66.5
"male",130,68,68.5,66.5
"male",130,68,68.5,66.5
"male",130,66.2,68.5,66.5
"female",130,63.2,68.5,66.5
"male",131,67.5,68,65
"male",131,66,68,65
"male",132,66,68,65.5
"female",132,64,68,65.5
"male",133,71.7,68,65.5
"male",133,71.5,68,65.5
"male",133,70.7,68,65.5
"male",133,65.5,68,65.5
"female",133,66.5,68,65.5
"female",133,65.2,68,65.5
"female",133,61.5,68,65.5
"male",134,72,68,65
"male",134,72,68,65
"female",134,68,68,65
"female",134,66,68,65
"male",135,69.2,68.5,65
"male",135,68,68.5,65
"male",135,66,68.5,65
"male",135,66,68.5,65
"female",135,62,68.5,65
"female",135,61.5,68.5,65
"female",135,61,68.5,65
"female",135,60,68.5,65
"male",136,71,68,64
"male",136,68,68,64
"male",136,68,68,64
"male",136,67,68,64
"female",136,65,68,64
"female",136,64,68,64
"female",136,63,68,64
"female",136,63,68,64
"female",136,62,68,64
"female",136,61,68,64
"male",137,66,68,64
"male",137,63,68,64
"female",137,65.5,68,64
"female",137,62,68,64
"male",138,71.2,68,64
"male",138,71.2,68,64
"male",138,69,68,64
"male",138,68.5,68,64
"female",138,62.5,68,64
"female",139,62,68,64.5
"male",140,69,68,64
"male",140,67,68,64
"male",140,66,68,64
"female",140,66,68,64
"female",140,66,68,64
"female",140,65,68,64
"female",140,65,68,64
"female",140,65,68,64
"female",140,64,68,64
"female",140,63,68,64
"male",141,70.5,68,63
"male",141,70,68,63
"male",141,68,68,63
"male",141,66,68,63
"male",141,66,68,63
"female",141,66,68,63
"female",141,62,68,63
"female",141,61.5,68,63
"male",142,73.5,68.5,63.5
"male",142,70,68.5,63.5
"male",142,69.5,68.5,63.5
"female",142,65.5,68.5,63.5
"male",143,67,68,63
"male",144,70,68,63
"male",144,68,68,63
"female",144,64.5,68,63
"female",144,64,68,63
"male",145,71,68,63
"male",145,68,68,63
"male",145,66,68,63
"male",145,65.5,68,63
"male",145,65,68,63
"female",145,63,68,63
"female",145,62,68,63
"female",145,62,68,63
"male",146,67,68,63
"male",146,67,68,63
"male",146,66,68,63
"female",146,64,68,63
"female",146,63.5,68,63
"female",146,61,68,63
"male",147,68.2,68.5,63.5
"male",148,70,68,63
"male",149,70,68.2,63.5
"male",149,69,68.2,63.5
"male",149,67,68.2,63.5
"male",149,65.5,68.2,63.5
"female",149,64.5,68.2,63.5
"male",150,68.5,68,62.5
"male",151,67.7,68.7,62
"female",151,61.7,68.7,62
"male",152,66.5,68,62.5
"male",153,68.5,68,61
"male",153,68,68,61
"male",153,64,68,61
"female",153,63.5,68,61
"female",153,63,68,61
"male",154,66.7,68,60.2
"male",155,64,68,60
"female",155,61,68,60
"female",155,61,68,60
"female",155,60,68,60
"female",155,60,68,60
"female",155,60,68,60
"female",155,56,68,60
"male",156,67.5,68,60
"male",156,67,68,60
"male",156,66.5,68,60
"female",156,60,68,60
"male",157,69,68.5,59
"male",158,68,68,59
"male",158,65,68,59
"male",158,64.7,68,59
"male",158,64,68,59
"male",158,64,68,59
"male",158,63,68,59
"female",158,65,68,59
"female",158,65,68,59
"female",158,62,68,59
"female",158,61,68,59
"male",159,72.7,67,66.2
"male",159,72.7,67,66.2
"male",159,71.5,67,66.2
"female",159,65.5,67,66.2
"female",159,63.5,67,66.2
"male",160,71,67,66.5
"male",161,73,67,66
"male",161,71,67,66
"male",161,70.5,67,66
"male",161,70,67,66
"male",161,69,67,66
"female",161,68,67,66
"female",161,65.5,67,66
"female",161,62,67,66
"male",162,69.7,67,65
"male",162,67.5,67,65
"female",162,65.5,67,65
"female",162,65,67,65
"female",162,64.5,67,65
"female",162,63.5,67,65
"male",163,70,67,65.5
"male",163,69,67,65.5
"female",163,65.5,67,65.5
"female",163,65.5,67,65.5
"female",163,63,67,65.5
"male",164,70,67,65.5
"male",164,67.7,67,65.5
"female",164,63,67,65.5
"female",164,60,67,65.5
"male",165,65,67,65
"female",165,62,67,65
"female",165,62,67,65
"male",166,71,67.5,65
"male",166,69,67.5,65
"female",166,64,67.5,65
"female",166,64,67.5,65
"female",166,63,67.5,65
"female",166,63,67.5,65
"female",166,63,67.5,65
"female",166,63,67.5,65
"female",166,63,67.5,65
"female",166,62.5,67.5,65
"female",166,62,67.5,65
"male",167,71.5,67,64
"male",167,70,67,64
"male",167,67,67,64
"male",167,67,67,64
"male",168,71,67,63.5
"male",168,70.2,67,63.5
"male",168,69.2,67,63.5
"male",168,68.5,67,63.5
"male",168,68,67,63.5
"male",168,67,67,63.5
"male",168,65.5,67,63.5
"female",168,63.5,67,63.5
"male",169,69,67,63
"male",169,68,67,63
"female",169,63,67,63
"male",170,70,67.5,62
"male",170,69.5,67.5,62
"male",170,69,67.5,62
"male",170,68.5,67.5,62
"female",170,66,67.5,62
"male",171,67,67,61
"male",172,70.5,66,67
"male",172,70.5,66,67
"male",172,67,66,67
"male",172,66,66,67
"male",172,66,66,67
"female",172,62,66,67
"female",172,62,66,67
"female",172,61.5,66,67
"male",173,72,66,67
"male",173,65,66,67
"male",173,65,66,67
"female",173,67,66,67
"female",173,64,66,67
"female",173,64,66,67
"female",173,62,66,67
"female",173,60,66,67
"female",173,60,66,67
"male",174,66,66,66
"male",174,65,66,66
"female",174,67,66,66
"female",174,66.5,66,66
"female",174,65.5,66,66
"male",175,72,66,66
"male",175,68,66,66
"female",175,66,66,66
"female",175,65,66,66
"female",175,62,66,66
"female",175,61,66,66
"male",176,68.7,66.5,65
"male",176,68.5,66.5,65
"male",176,66.5,66.5,65
"male",176,64.5,66.5,65
"female",176,62.5,66.5,65
"female",176,60.5,66.5,65
"female",176,60.5,66.5,65
"female",176,57.5,66.5,65
"male",177,72,66,65.5
"male",177,71,66,65.5
"male",177,67,66,65.5
"female",177,66,66,65.5
"female",177,65,66,65.5
"male",178,70,66,63
"female",179,64.5,66,63.5
"female",179,62,66,63.5
"male",180,67.2,66.5,63
"male",180,67,66.5,63
"male",180,65,66.5,63
"female",180,65,66.5,63
"female",180,65,66.5,63
"female",180,63,66.5,63
"male",181,70,66.5,62.5
"male",181,68,66.5,62.5
"female",181,63.5,66.5,62.5
"female",181,62.5,66.5,62.5
"female",181,62.5,66.5,62.5
"female",181,62.5,66.5,62.5
"female",181,62.5,66.5,62.5
"male",182,70,66,61.5
"male",183,68,66,60
"male",183,67,66,60
"male",183,65,66,60
"female",183,60,66,60
"male",184,65,66,60
"male",185,68,66,59
"male",185,67,66,59
"male",185,66.5,66,59
"male",185,66,66,59
"male",185,65.7,66,59
"male",185,65.5,66,59
"male",185,65,66,59
"female",185,65,66,59
"female",185,64,66,59
"female",185,63,66,59
"female",185,62,66,59
"female",185,61,66,59
"female",185,60,66,59
"female",185,58,66,59
"female",185,57,66,59
"male",186,66.5,65,67
"male",186,66,65,67
"male",186,66,65,67
"female",186,65,65,67
"female",187,63,65,67
"male",188,63,65,66
"female",188,63,65,66
"female",188,63,65,66
"female",188,60,65,66
"male",189,67,65,66
"male",189,66,65,66
"male",189,65,65,66
"female",189,65,65,66
"female",189,61,65,66
"male",190,69,65,65
"male",190,68,65,65
"male",190,68,65,65
"female",190,65,65,65
"female",190,65,65,65
"female",190,62,65,65
"female",190,62,65,65
"female",190,61,65,65
"female",190,59,65,65
"male",191,70.7,65,65.5
"female",191,65.5,65,65.5
"male",192,69.2,65,65
"male",192,69,65,65
"male",192,68,65,65
"male",192,67.7,65,65
"female",192,64.5,65,65
"female",192,60.5,65,65
"male",193,67,65,64
"male",193,67,65,64
"female",193,64,65,64
"female",193,64,65,64
"female",193,62.5,65,64
"female",193,60.5,65,64
"male",194,70,65,63
"female",194,63,65,63
"male",195,66,65,63
"male",195,66,65,63
"female",195,63,65,63
"male",196,71,65.5,63
"male",196,71,65.5,63
"male",196,69,65.5,63
"female",196,63.5,65.5,63
"male",197,68,65.5,60
"male",197,68,65.5,60
"male",197,67,65.5,60
"male",197,67,65.5,60
"female",197,62,65.5,60
"male",198,71.5,64,64
"male",198,68,64,64
"female",198,65.5,64,64
"female",198,64,64,64
"female",198,62,64,64
"female",198,62,64,64
"female",198,61,64,64
"male",199,70.5,64,64
"male",199,68,64,64
"female",199,67,64,64
"female",199,65,64,64
"female",199,64,64,64
"female",199,64,64,64
"female",199,60,64,64
"male",200,64.5,64,63
"male",201,66,64,60
"female",201,60,64,60
"female",202,68.5,63,63.5
"female",202,63,63,63.5
"male",203,64,62,66
"female",203,62,62,66
"female",203,61,62,66
"male",204,66.5,62.5,63
"female",204,57,62.5,63
"male",205,72,68.5,65
"male",205,70.5,68.5,65
"male",205,68.7,68.5,65
"male",205,68.5,68.5,65
"male",205,67.7,68.5,65
"female",205,64,68.5,65
"female",205,63.5,68.5,65
"female",205,63,68.5,65
